id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,minted_market_cap,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,12489,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19955375.0,19955375.0,False,1810720290566.58,,1,,,,2025-11-29T17:21:00.000Z,90738.47475011539,42266435187.68269,-25.1265,-0.47453934,0.01674354,7.41872857,-15.24443207,-19.89799299,-16.68880647,1810720290566.584,58.6109,1905507969752.42,,2025-11-29T17:21:00.000Z,,,,,,2025-11-29 19:23:42.856515
1027,Ethereum,ETH,ethereum,11215,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sophon-ecosystem']",,120695520.90039237,120695520.90039237,True,361871926436.82,,2,,,,2025-11-29T17:21:00.000Z,2998.221671668034,13724232394.331442,-28.3056,-0.4515022,-0.76090941,9.09681206,-19.81725187,-26.98897099,-33.06148698,361871926436.81854,11.7134,361871926436.82,,2025-11-29T17:21:00.000Z,,,,,,2025-11-29 19:23:42.856515
825,Tether USDt,USDT,tether,160235,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,184617105483.98312,186868037065.4917,True,186945092193.27,,3,,,,2025-11-29T17:21:00.000Z,1.0004123504960438,63474363494.95634,-28.0235,-0.01236918,-0.00179949,0.10560508,0.03471491,0.02625793,0.02020012,184693232439.00763,5.9783,186945092193.27,,2025-11-29T17:21:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-11-29 19:23:42.856515
52,XRP,XRP,xrp,1763,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022']",100000000000.0,60331635327.0,99985752852.0,False,221694588051.6,,4,,,,2025-11-29T17:21:00.000Z,2.217261777082927,2586450400.311978,-34.5317,-0.08160836,1.28594874,14.58685575,-9.44057525,-21.53438849,-21.11824175,133771028959.46312,4.33,221726177708.29,,2025-11-29T17:21:00.000Z,,,,,,2025-11-29 19:23:42.856515
1839,BNB,BNB,bnb,2979,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",137736351.87,137736351.87,137736351.87,False,121115238353.92,,5,,,,2025-11-29T17:22:00.000Z,879.3266026694,1481794951.517137,-21.7423,-0.25224598,0.0708866,6.29962708,-18.00333176,-12.20708028,1.63832561,121115238353.92416,3.9204,121115238353.92,,2025-11-29T17:22:00.000Z,,,,,,2025-11-29 19:23:42.856515
5426,Solana,SOL,solana,1055,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,559530082.5990974,615071148.9457935,True,84486406829.78,,6,525236893.3,72146739325.05664,,2025-11-29T17:21:00.000Z,137.36038013584192,2740549936.886282,-39.3508,-0.23421193,-0.02506669,7.65733436,-25.26587278,-33.21566408,-33.02425495,76857264843.25104,2.4878,84486406829.78,,2025-11-29T17:21:00.000Z,,,,,,2025-11-29 19:23:42.856515
3408,USDC,USDC,usd-coin,34966,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'stellar-ecosystem', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'monad-ecosystem', 'xlayer-ecosystem']",,76554632503.45795,76554632503.45795,False,76546843721.47,,7,60901219650.23,60895023469.71197,,2025-11-29T17:21:00.000Z,0.9998982585151229,8204373656.902549,-30.4264,-0.02865152,-0.01141399,0.02797081,-0.00341961,0.01165859,-0.01636718,76546843721.47282,2.4777,76546843721.47,,2025-11-29T17:21:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-11-29 19:23:42.856515
1958,TRON,TRX,tron,1262,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'made-in-china']",,94678872723.4513,94678870623.7493,True,26642014616.13,,8,94667886298.43,26638923698.867317,,2025-11-29T17:22:00.000Z,0.281393456012011,409933662.1435128,-24.862,-0.1289271,0.21842332,2.87854053,-3.50939353,-15.62518493,-17.95032279,26642015206.973278,0.8624,26642014616.13,,2025-11-29T17:22:00.000Z,,,,,,2025-11-29 19:23:42.856515
74,Dogecoin,DOGE,dogecoin,1352,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,151976856383.7052,151976856383.70526,True,22603580827.82,,9,,,,2025-11-29T17:21:00.000Z,0.14873041439118037,730171168.7924987,-39.6967,-0.44878934,-0.92668604,6.96544969,-17.62881345,-35.12044074,-31.58958586,22603580827.81738,0.7317,22603580827.82,,2025-11-29T17:21:00.000Z,,,,,,2025-11-29 19:23:42.856515
2010,Cardano,ADA,cardano,1629,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022']",45000000000.0,35893941446.25879,44994771011.645424,False,18826280141.51,,10,37997904336.0,15898718356.29019,,2025-11-29T17:22:00.000Z,0.4184104001027082,415854618.0000667,-29.6456,-0.5497169,-0.54835662,4.30979901,-30.26067486,-46.70075761,-49.13327733,15018398401.79232,0.4861,18828468004.62,,2025-11-29T17:22:00.000Z,,,,,,2025-11-29 19:23:42.856515
